unhealthy_ratio,good_day_ratio,pollution_severity_index,aqi_spread,pm_pollution_ratio
0.0,0.9328358208955224,19,77,0.0
0.0,0.7435897435897436,70,55,0.4652014652014652
0.0,0.5248618784530387,87,90,0.8232044198895028
0.0,0.9771689497716894,5,45,0.0
0.0,0.856353591160221,26,59,0.0
0.0,0.6727941176470589,90,55,0.6507352941176471
0.0,0.7619047619047619,65,33,0.5934065934065934
0.0,0.5109489051094891,134,48,0.7846715328467153
0.0,0.9267399267399268,20,47,0.07692307692307693
0.0,0.7153284671532847,79,61,0.46715328467153283
0.0,0.8241758241758241,49,64,0.43223443223443225
0.0,0.717948717948718,77,45,0.6666666666666666
0.0,0.9157509157509157,24,78,0.0
0.0,0.6934306569343066,85,85,0.5291970802919708
0.0,0.9440298507462687,15,66,0.0
0.0,0.9597069597069597,11,48,1.0
0.0,0.6666666666666666,91,35,0.575091575091575
0.0,0.5970695970695971,110,37,0.6703296703296703
0.0,0.8345588235294118,45,57,0.3125
0.0,0.9522058823529411,13,35,0.0
0.0,0.7838827838827839,59,48,0.47985347985347987
0.0,0.7362637362637363,48,37,0.5714285714285714
0.0,0.4944649446494465,138,68,0.8560885608856088
0.0,0.7894736842105263,4,37,1.0
0.0,0.6666666666666666,91,46,0.717948717948718
0.0,0.6666666666666666,91,45,0.6117216117216118
0.0,0.5308641975308642,38,25,1.0
0.0,0.9252336448598131,16,38,0.028037383177570093
0.0,0.691358024691358,75,34,1.0
0.0,0.9436619718309859,12,62,0.0
0.0,0.6176470588235294,104,44,0.6323529411764706
0.0,0.5555555555555556,109,69,1.0
0.0,0.8163265306122449,18,57,0.0
0.0,0.7203389830508474,66,40,1.0
0.0,0.5583941605839416,125,80,0.5547445255474452
0.0,0.818815331010453,52,55,0.5052264808362369
0.0,0.6446886446886447,97,39,0.5641025641025641
0.0,0.5495867768595041,109,36,1.0
0.0,0.7472118959107806,68,33,0.5278810408921933
0.0,0.6157024793388429,93,49,1.0
0.0,0.5185185185185185,117,39,1.0
0.0,0.9070796460176991,22,73,0.06637168141592921
0.007352941176470588,0.5955882352941176,117,120,0.7573529411764706
0.0,0.8818565400843882,28,54,0.0
0.0,0.5274725274725275,130,81,0.7802197802197802
0.0,0.9383886255924171,13,54,0.0
0.00823045267489712,0.551440329218107,114,135,1.0
0.0,0.5785123966942148,102,35,1.0
0.0,0.8109452736318408,38,48,1.0
0.0,0.9505494505494505,9,28,0.3241758241758242
0.0,0.9613259668508287,7,47,1.0
0.0,0.8055555555555556,49,58,0.4642857142857143
0.0,0.9144736842105263,27,80,0.7236842105263158
0.0,0.7458563535911602,46,55,1.0
0.0,0.9939759036144579,1,34,1.0
0.0,0.7292817679558011,49,39,1.0
0.0,0.712707182320442,52,33,1.0
0.0,0.9485714285714286,9,49,1.0
0.0,0.8738738738738738,28,33,0.0
0.0,0.8715083798882681,23,35,1.0
0.0,1.0,0,10,1.0
0.0,0.9580838323353293,7,60,1.0
0.0,0.7983539094650206,49,45,0.36213991769547327
0.0,0.8839779005524862,21,47,1.0
0.0,0.9935483870967742,1,28,1.0
0.0,0.6906077348066298,56,62,1.0
0.0,0.8397790055248618,29,60,1.0
0.0,0.6571428571428571,73,74,1.0
0.0,0.9723756906077348,6,81,1.0
0.0,0.7810650887573964,37,62,1.0
0.0,0.9436619718309859,12,33,0.0
0.0,0.6373626373626373,102,94,0.43956043956043955
0.0,0.9213483146067416,21,51,0.0
0.01824817518248175,0.4051094890510949,192,115,0.5583941605839416
0.003663003663003663,0.6117216117216118,113,114,0.6153846153846154
0.0,0.957345971563981,9,36,0.0
0.0,0.6654275092936803,90,55,0.5278810408921933
0.0037593984962406013,0.7330827067669173,75,112,0.38721804511278196
0.0,0.9429824561403509,13,52,0.0
0.003663003663003663,0.608058608058608,117,119,0.5201465201465202
0.0,0.835,36,68,0.0
0.0,0.6373626373626373,102,97,0.5531135531135531
0.0,0.9080882352941176,26,68,0.0
0.003289473684210526,0.5526315789473685,142,212,0.5493421052631579
0.003676470588235294,0.6617647058823529,105,122,0.4338235294117647
0.003663003663003663,0.6410256410256411,103,110,0.5018315018315018
0.007407407407407408,0.5777777777777777,120,107,0.6037037037037037
0.003676470588235294,0.6691176470588235,92,117,0.5661764705882353
0.007326007326007326,0.673992673992674,93,126,0.5970695970695971
0.003355704697986577,0.6442953020134228,110,117,0.6510067114093959
0.0,0.706959706959707,83,100,0.5201465201465202
0.003663003663003663,0.5934065934065934,117,111,0.6153846153846154
0.0038022813688212928,0.6768060836501901,92,128,0.532319391634981
0.0,0.5824175824175825,117,70,0.4908424908424908
0.0,0.6923076923076923,84,53,0.43223443223443225
0.0,0.8692307692307693,37,74,0.0
0.0,0.9448529411764706,15,40,0.0
0.0,0.8784313725490196,32,68,0.0
0.0,0.5970695970695971,113,87,0.6190476190476191
0.0,0.6336996336996337,102,64,0.47985347985347987
0.0,0.6715867158671587,89,49,1.0
0.0,0.6102941176470589,110,88,0.5367647058823529
0.0,0.6387959866220736,113,80,0.5217391304347826
0.0,0.7491638795986622,75,49,0.47491638795986624
0.0,0.5845588235294118,118,71,0.5441176470588235
0.0,0.9007352941176471,27,52,0.0
0.0,0.6877470355731226,79,57,1.0
0.0,0.6148148148148148,107,76,0.4740740740740741
0.0,0.9307359307359307,16,55,0.0
0.003663003663003663,0.6227106227106227,116,109,0.43956043956043955
0.014652014652014652,0.3882783882783883,187,166,0.7509157509157509
0.0,0.7106227106227107,81,80,0.42857142857142855
